,confirmed,country,deaths,datetime,province,recovered,date,file_date
0,1,Mainland China,0,2020-01-22 17:00:00,Anhui,0,2020-01-22,2020-01-22
21,0,Mainland China,0,2020-01-22 17:00:00,Qinghai,0,2020-01-22,2020-01-22
22,0,Mainland China,0,2020-01-22 17:00:00,Shaanxi,0,2020-01-22,2020-01-22
23,2,Mainland China,0,2020-01-22 17:00:00,Shandong,0,2020-01-22,2020-01-22
24,9,Mainland China,0,2020-01-22 17:00:00,Shanghai,0,2020-01-22,2020-01-22
25,1,Mainland China,0,2020-01-22 17:00:00,Shanxi,0,2020-01-22,2020-01-22
26,5,Mainland China,0,2020-01-22 17:00:00,Sichuan,0,2020-01-22,2020-01-22
27,1,Mainland China,0,2020-01-22 17:00:00,Hebei,0,2020-01-22,2020-01-22
20,1,Mainland China,0,2020-01-22 17:00:00,Ningxia,0,2020-01-22,2020-01-22
28,1,Macau,0,2020-01-22 17:00:00,Macau,0,2020-01-22,2020-01-22
31,1,Mainland China,0,2020-01-22 17:00:00,Yunnan,0,2020-01-22,2020-01-22
32,10,Mainland China,0,2020-01-22 17:00:00,Zhejiang,0,2020-01-22,2020-01-22
33,2,Japan,0,2020-01-22 17:00:00,Japan,0,2020-01-22,2020-01-22
34,2,Thailand,0,2020-01-22 17:00:00,Thailand,0,2020-01-22,2020-01-22
35,1,South Korea,0,2020-01-22 17:00:00,South Korea,0,2020-01-22,2020-01-22
36,1,Taiwan,0,2020-01-22 17:00:00,Taiwan,0,2020-01-22,2020-01-22
37,1,Mainland China,0,2020-01-22 17:00:00,Jiangsu,0,2020-01-22,2020-01-22
30,0,Mainland China,0,2020-01-22 17:00:00,Xinjiang,0,2020-01-22,2020-01-22
19,4,Mainland China,0,2020-01-22 17:00:00,Tianjin,0,2020-01-22,2020-01-22
29,1,US,0,2020-01-22 17:00:00,Washington,0,2020-01-22,2020-01-22
17,0,Mainland China,0,2020-01-22 17:00:00,Tibet,0,2020-01-22,2020-01-22
18,2,Mainland China,0,2020-01-22 17:00:00,Liaoning,0,2020-01-22,2020-01-22
1,0,Mainland China,0,2020-01-22 17:00:00,Jilin,0,2020-01-22,2020-01-22
2,14,Mainland China,0,2020-01-22 17:00:00,Beijing,0,2020-01-22,2020-01-22
3,6,Mainland China,0,2020-01-22 17:00:00,Chongqing,0,2020-01-22,2020-01-22
4,1,Mainland China,0,2020-01-22 17:00:00,Fujian,0,2020-01-22,2020-01-22
6,2,Mainland China,0,2020-01-22 17:00:00,Guangxi,0,2020-01-22,2020-01-22
7,1,Mainland China,0,2020-01-22 17:00:00,Guizhou,0,2020-01-22,2020-01-22
8,4,Mainland China,0,2020-01-22 17:00:00,Hainan,0,2020-01-22,2020-01-22
5,0,Mainland China,0,2020-01-22 17:00:00,Gansu,0,2020-01-22,2020-01-22
9,26,Mainland China,0,2020-01-22 17:00:00,Guangdong,0,2020-01-22,2020-01-22
10,0,Mainland China,0,2020-01-22 17:00:00,Heilongjiang,0,2020-01-22,2020-01-22
11,5,Mainland China,0,2020-01-22 17:00:00,Henan,0,2020-01-22,2020-01-22
12,0,Hong Kong,0,2020-01-22 17:00:00,Hong Kong,0,2020-01-22,2020-01-22
